"ID/EAN","NOMBRE","MARCA","PRESENTACION","ID_CATEGORIA","IMAGEN"
"7891515547066","Supremitas de Pollo Rebozadas Congeladas Sadia 720 Gr","SADIA","720.0 gr","3","https://jumboargentina.vteximg.com.br/arquivos/ids/672082/Chicken-Fingers-Sadia-X-720gr-1-879798.jpg?v=637702762428600000"
"7790079020773","Medallon de Pollo especial Paladini 170 Gr","PALADINI","170.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/201482/0779007902077-01-26922.jpg?v=637844814822200000"
"7797906000700","Papas Prefritas Supercongeladas Mc Cain 400 Gr","MC CAIN","400.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/224908/0779790600070-01-6669.jpg?v=638731722149900000"
"7790070036278","Espinaca Congelada Granja Del Sol 500 Gr","GRANJA DEL SOL","500.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/294847/Espinaca-Granja-Del-Sol-Congelada-500g-1-47149.jpg?v=638283369859700000"
"7797906054826","Papas Clasicas Tradicional Familiar Mc Cain 700 Gr","MC CAIN","700.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/311765/Papas-Fritas-Bast-n-Mc-Cain-Cl-sicas-Corte-Tradicional-700g-1-48282.jpg?v=638400873746030000"
"7797906054819","Papas Clasicas Tradicional Familiar Mc Cain 1.4 Kg","MC CAIN","1.4 kg","3","https://masonlineprod.vteximg.com.br/arquivos/ids/311764/Papas-Fritas-Bast-n-Mc-Cain-Cl-sicas-Corte-Tradicional-1-4kg-1-48281.jpg?v=638400873743070000"
"7797906054864","Papas Baston Horneables Corte Tradicional Bolsa Mc Cain 700 Gr","MC CAIN","700.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/311768/Papas-Mc-Cain-Horneables-Corte-Tradicional-700-G-1-49400.jpg?v=638400873757400000"
"7790070036292","Acelga Congelada Granja Del Sol 500 Gr","GRANJA DEL SOL","500.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/290349/Acelga-Granja-Del-Sol-500g-1-45437.jpg?v=638248593744930000"
"7790070036308","Brocoli Congelado Granja Del Sol 400 Gr","GRANJA DEL SOL","400.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/290350/Brocoli-Granja-Del-Sol-400g-1-45438.jpg?v=638248593749000000"
"7797906054857","Papas Baston Horneables Artesanal Bolsa Mc Cain 700 Gr","MC CAIN","700.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/311767/Papas-Fritas-Bast-n-Mc-Cain-Horneables-Estilo-Artesanal-700g-1-48288.jpg?v=638400873753370000"
"7790070036384","Arvejas Congeladas Bolsa Granja Del Sol Bolsa 300 Gr","GRANJA DEL SOL","300.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/290351/Arvejas-Granja-Del-Sol-300g-1-45439.jpg?v=638248593752700000"
"7790070036414","Arvejas Congeladas Bolsa Lucchetti 300 Gr","LUCCHETTI","300.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/299679/Arvejas-Congeladas-Lucchetti-300g-1-48400.jpg?v=638303350174370000"
"7790070036391","Ensalada Primavera Congelada Granja del Sol 400 Gr","GRANJA DEL SOL","400.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/290352/Mix-Primavera-Granja-Del-Sol-400g-1-45424.jpg?v=638248593755370000"
"7797906054833","Papas Baston Corte Crinkle Bolsa Mc Cain 600 Gr","MC CAIN","600.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/311766/Papas-Fritas-Bast-n-Mc-Cain-Gourmet-Corte-Crinckle-600g-1-48283.jpg?v=638400873749300000"
"7790079021459","Papas Baston Paladini 700 Gr","PALADINI","700.0 gr","3","https://www.lacoopeencasa.coop/media/lcec/publico/articulos/f/5/e/f5efe3a8a7409f8188bff8f7dd343489"
"7790272001029","Aceite de Girasol Natura 1.5 Lt","NATURA","1.5 lt","1","https://masonlineprod.vteximg.com.br/arquivos/ids/163523/Aceite-De-Girasol-Natura-15-Lt-1-13743.jpg?v=637835134305170000"
"7790070012050","Aceite de Girasol Cocinero 900 Ml","COCINERO","900.0 ml","1","https://jumboargentina.vteximg.com.br/arquivos/ids/614663/Aceite-De-Girasol-Cocinero-900-Ml-1-32670.jpg?v=637409202878630000"
"7792180001665","Aceite de Girasol Cañuelas 1.5 Lt","CAÑUELAS","1.5 lt","1","https://masonlineprod.vteximg.com.br/arquivos/ids/235318/front-view-11147.jpg?v=637860986986370000"
"7790272001005","Aceite de Girasol Natura 900 Ml","NATURA","900.0 ml","1","https://masonlineprod.vteximg.com.br/arquivos/ids/163521/Aceite-Girasol-Natura-900ml-1-13742.jpg?v=637835134300600000"
"7792180001641","Aceite de Girasol Cañuelas 900 Cc","CAÑUELAS","900.0 cc","1","https://masonlineprod.vteximg.com.br/arquivos/ids/164672/Aceite-De-Girasol-Canuelas-900-Ml-1-14808.jpg?v=637835136050230000"
"7790070231420","Aceite de Girasol Lira 1.5 Lt","LIRA","1.5 lt","1","https://www.lacoopeencasa.coop/media/lcec/publico/articulos/a/d/2/ad2cb3c9d1883b8c9963568d03afd5da"
"7790272000794","Aceite de Maiz Mazola 900 Ml","MAZOLA","900.0 ml","1","https://www.lacoopeencasa.coop/media/lcec/publico/articulos/1/c/3/1c31d0d1aa7c22efb9bd0ab70ee94bbf"
"7790060234868","Aceite Mezcla Cocinero 900 Cc","COCINERO","900.0 cc","1","https://masonlineprod.vteximg.com.br/arquivos/ids/383814/Aceite-Mezcla-Cocinero-900-Ml-0779006023486-1.jpg?v=639125697762770000"
"7790070265142","Aceite Oliva Puro sin TACC Cocinero 500 Ml","COCINERO","500.0 ml","1","https://masonlineprod.vteximg.com.br/arquivos/ids/383843/Aceite-De-Oliva-Cocinero-500-Ml-0779007026514-1.jpg?v=639125699114100000"
"7798080520077","Aceite de Oliva Extra Virgen La Toscana 500 Cc","LA TOSCANA","500.0 cc","1","https://www.lacoopeencasa.coop/media/lcec/publico/articulos/1/7/2/1727aa18cf888f6bc619c103f00f8929"
"7790070231833","Aceite de Oliva Extra Virgen Lira 500 Ml","LIRA","500.0 ml","1","https://masonlineprod.vteximg.com.br/arquivos/ids/322700/0779007023183-01-26836.jpg?v=638507254057700000"
"7798080520534","Aceite de Oliva con Albahaca La Toscana 250 Ml","LA TOSCANA","250.0 ml","1","https://www.lacoopeencasa.coop/media/lcec/publico/articulos/c/f/f/cff52f0e316f564a44f0b6c09ca893bc"
"7790199603757","Aceite Oliva Extra Virgen Morixe 500 Ml","MORIXE","500.0 ml","1","N/A"
"7798080521760","Aceitunas Negras La Toscana 580 Gr","LA TOSCANA","580.0 gr","1","https://www.lacoopeencasa.coop/media/lcec/publico/articulos/0/1/7/01769c543c0f2eec1df8d1147fc0caf2"
"7798080521685","Aceitunas Verdes sin Carozo La Toscana 300 Gr","LA TOSCANA","300.0 gr","1","https://www.lacoopeencasa.coop/media/lcec/publico/articulos/1/9/8/198a25f322ab3aa2065ac1f0450164a7"
"7798080521678","Aceitunas Verdes La Toscana 300 Gr","LA TOSCANA","300.0 gr","1","https://www.lacoopeencasa.coop/media/lcec/publico/articulos/7/5/4/754a98d2875573e3d28c3e065bfde300"
"7790199603030","Aceitunas Verdes Enteras Morixe 300 Gr","MORIXE","300.0 gr","1","https://masonlineprod.vteximg.com.br/arquivos/ids/204703/0779019960303-01-3642.jpg?v=637850726455800000"
"7790199603054","Aceitunas Verdes Descarozadas Morixe 300 Gr","MORIXE","300.0 gr","1","https://masonlineprod.vteximg.com.br/arquivos/ids/204702/0779019960305-01-19558.jpg?v=637850726451430000"
"7792070001133","Aceitunas Verdes en Doypack Nucete 800 Gr","NUCETE","800.0 gr","1","https://masonlineprod.vteximg.com.br/arquivos/ids/260380/front-view-24785.jpg?v=638013802021130000"
"7792070054351","Aceitunas Verdes Rodajas Doypack Nucete 220 Gr","NUCETE","220.0 gr","1","https://www.lacoopeencasa.coop/media/lcec/publico/articulos/7/1/d/71d10628a24d84fbb70cfe7c5513a10e"
"7798080521692","Aceitunas Verdes Rodajas La Toscana 300 Gr","LA TOSCANA","300.0 gr","1","https://www.lacoopeencasa.coop/media/lcec/publico/articulos/7/4/1/74135d83ace8753acd7de84ff45ac1ba"
"7798080521739","Aceitunas Verdes sin Carozo La Toscana 580 Gr","LA TOSCANA","580.0 gr","1","https://www.lacoopeencasa.coop/media/lcec/publico/articulos/c/d/b/cdbd4dc44bc9cda2f6eb43aa9bcf3273"
"7790139000448","Aceto Balsamico Clasico Casalta 250 Ml","CASALTA","250.0 ml","1","https://www.lacoopeencasa.coop/media/lcec/publico/articulos/2/b/6/2b670307a9b5c767b03fdb2aae1f0a6b"
"7790139003418","Aceto Balsamico Reduccion Casalta 400 Ml","CASALTA","400.0 ml","1","https://masonlineprod.vteximg.com.br/arquivos/ids/383754/Aceto-Bals-mico-Casalta-Reducci-n-400-Ml-0779013900341-1.jpg?v=639125695304530000"
