"ID/EAN","NOMBRE","MARCA","PRESENTACION","ID_CATEGORIA","PRECIO"
"7793147570743","Cerveza Imperial Ipa 473cc","IMPERIAL","Cerveza Imperial Ipa 473cc","38","3050.0"
"7622201733834","Jugo En Polvo Limonada Maracuyá 7,5 Grs Clight","CLIGHT","Jugo En Polvo Limonada Maracuyá 7,5 Grs Clight","211","520.0"
"7793147571863","Cerveza Heineken Premium 473 Ml Six Pack","HEINEKEN","Cerveza Heineken Premium 473 Ml Six Pack","38","22200.0"
"7799155000340","Saborizada Levite Naranja 2.25lt","Levite","Saborizada Levite Naranja 2.25lt","204","3400.0"
"7622201702625","Jugo En Polvo Ananá 7 Grs Clight","CLIGHT","Jugo En Polvo Ananá 7 Grs Clight","211","520.0"
"7791813555025","Gaseosa Pepsi  Lata 354ml X 1u","PEPSI","Gaseosa Pepsi  Lata 354ml X 1u","205","2100.0"
"7790895003295","Saborizada Aquarius Pera 2.2lt","AQUARIUS","Saborizada Aquarius Pera 2.2lt","204","3300.0"
"7790895650840","Gaseosa Zero X 600 Ml Coca-cola","COCA COLA","Gaseosa Zero X 600 Ml Coca-cola","205","2300.0"
"7791670027611","Espumante Fdaunlimited Extra Dulce 750","FEDERICO DE ALVEAR","Espumante Fdaunlimited Extra Dulce 750","39","6800.0"
"7840050009737","Cerveza Ultra Rubia 275cc Michelob","MICHELOB","Cerveza Ultra Rubia 275cc Michelob","38","2750.0"
"7793147118860","Cerveza Rubia 473 Ml Schneider","SCHNEIDER","Cerveza Rubia 473 Ml Schneider","38","2400.0"
"7792798007400","Cerveza Quilmes Stout 1lt","QUILMES","Cerveza Quilmes Stout 1lt","38","4200.0"
"7793147118846","Cerveza Budweiser 473 Ml X 6 Un","BUDWEISER","Cerveza Budweiser 473 Ml X 6 Un","38","15780.0"
"7791813333050","Gaseosa Mirinda Naranja Botella 2,25ltx1","MIRINDA","Gaseosa Mirinda Naranja Botella 2,25ltx1","207","2600.0"
"7791200200866","Vodka Infusions Rasberry 700ml Skyy","SKYY","Vodka Infusions Rasberry 700ml Skyy","540","12600.0"
"7792798002115","Cerveza Andes Origen Rubia 1lt","ANDES","Cerveza Andes Origen Rubia 1lt","38","5100.0"
"7790895003288","Saborizada Aquarius Pomelo 2.25lt","AQUARIUS","Saborizada Aquarius Pomelo 2.25lt","204","3300.0"
"7622201735777","Jugo En Polvo Tang Naranja Banana 15gr","TANG","Jugo En Polvo Tang Naranja Banana 15gr","211","495.0"
"7799155000463","Saborizada Levite Pera 2.25lt","Levite","Saborizada Levite Pera 2.25lt","204","3400.0"
"7790895643835","Alimento Soja + Jugo De Manzana 1 Lts Ades","ADES","Alimento Soja + Jugo De Manzana 1 Lts Ades","212","2950.0"
"7798422520045","Bebida Energizante Mango Loco 473 Ml Monster","MONSTER","Bebida Energizante Mango Loco 473 Ml Monster","40","2800.0"
"7622201705961","Jugo En Polvo Tang Naranja 15gr","TANG","Jugo En Polvo Tang Naranja 15gr","211","495.0"
"7793147000752","Cerveza Imperial Lager 473cc","IMPERIAL","Cerveza Imperial Lager 473cc","38","2900.0"
"7791813434412","Gaseosa 7 Up Sin Azucar 1.5lt","7 UP","Gaseosa 7 Up Sin Azucar 1.5lt","206","3950.0"
"7622201735746","Jugo En Polvo Tang Pomelo Rosado 15 Gr","TANG","Jugo En Polvo Tang Pomelo Rosado 15 Gr","211","495.0"
"7791813434450","Gaseosa 7 Up Sin Azucar 2.25lt","7 UP","Gaseosa 7 Up Sin Azucar 2.25lt","206","5200.0"
"7791813423386","Gaseosa Paso De Los Toros Pomelo Botella 2,25ltx1","PASO DE LOS TOROS","Gaseosa Paso De Los Toros Pomelo Botella 2,25ltx1","208","5200.0"
"7792319972224","Vino Blanco Dulce 750 Ml Cosecha Tardía","NORTON","Vino Blanco Dulce 750 Ml Cosecha Tardía","215","5993.0"
"7792798001712","Cerveza Andes Origen Rubia 473cc 6un","ANDES","Cerveza Andes Origen Rubia 473cc 6un","38","18300.0"
"7798065734314","Soda Sierra De Los Padres 1.75lt","SIERRA DE LOS PADRES","Soda Sierra De Los Padres 1.75lt","203","1667.0"
"7793147570330","Cerveza Imperial Ipa 1lt Ret","IMPERIAL","Cerveza Imperial Ipa 1lt Ret","38","5200.0"
"7791813828419","Gaseosa Pepsi  Black 1.5lt","PEPSI","Gaseosa Pepsi  Black 1.5lt","205","3950.0"
"7790580129972","Jugo Manzana Roja 7 Gr Bc","BC","Jugo Manzana Roja 7 Gr Bc","211","400.0"
"7790580129965","Jugo Naranja Dulce 7 Gr Bc","BC","Jugo Naranja Dulce 7 Gr Bc","211","400.0"
"7793147001025","Cerveza Rubia 1000 Ml Schneider","SCHNEIDER","Cerveza Rubia 1000 Ml Schneider","38","4200.0"
"7791813421368","Gaseosa Paso De Los Toros Tónica Botella 1,5ltx1","PASO DE LOS TOROS","Gaseosa Paso De Los Toros Tónica Botella 1,5ltx1","209","4150.0"
"7792798005970","Cerveza Brahma Chopp Lata 473mlx6","BRAHMA","Cerveza Brahma Chopp Lata 473mlx6","38","15000.0"
"7798353194653","Vino Malbec 750 Ml Cordero Con Piel De Lobo","Mosquita Muerta","Vino Malbec 750 Ml Cordero Con Piel De Lobo","216","6900.0"
"7790895640025","Bebida Isotónica Mountain Blast 500 Ml Powerade","POWERADE","Bebida Isotónica Mountain Blast 500 Ml Powerade","42","1950.0"
"7790950000160","Aperitivo Gancia 950 Ml","GANCIA","Aperitivo Gancia 950 Ml","36","8864.0"
"7790240042108","Vino Alma Mora Malbec 750cc","ALMA MORA","Vino Alma Mora Malbec 750cc","216","7437.0"
"7622201682026","Jugo En Polvo Limonada Rosa 8 Grs Clight","CLIGHT","Jugo En Polvo Limonada Rosa 8 Grs Clight","211","520.0"
"7790950147926","Aperitivo Sin Alcohol X 473 Cc Gancia","GANCIA","Aperitivo Sin Alcohol X 473 Cc Gancia","36","2600.0"
