EAN,NOMBRE,MARCA,PRESENTACION,ID_CATEGORIA,IMAGEN
"7793890260885","Pan Blanco Artesano Masa Madre x 500 gr","Artesano","500 gr","","https://cdn.batitienda.com/baticloud/images/product_picture_3455947cac774790ac91638e21fe61b4_638685615910931944_0_m.jpg"
"7790742665027","Bebida Lactea La Serenísima Frutilla Sachet 900 cc.","LS","900 cc","","https://cdn.batitienda.com/baticloud/images/product_picture_c8be54848cc04ff5b4f724364ebf0575_638385889272924586_0_m.jpg"
"7790742665010","Bebida Lactea La Serenísima Vainilla Sachet 900 cc.","LS","900 cc","","https://cdn.batitienda.com/baticloud/images/product_picture_6196f9af08d84d6ba68ba18fb7c72143_638385883273426412_0_m.jpg"
"7790742661333","B.Lactea Cookies La Serenisima Sachet 900 ml","La Serenisima","900 ml","","https://cdn.batitienda.com/baticloud/images/product_picture_0593fc7ef33f430a9be9ec710f122d3a_638932575890476297_0_m.jpg"
"7790742661067","B.Lactea Ddl La Serenisima Sachet 900 ml","La Serenisima","900 ml","","https://cdn.batitienda.com/baticloud/images/product_picture_7c29cabf6f0148b9b920210e17319133_638510225185445099_0_m.jpg"
"7790742172204","Sense Proteina Cacao La Serenisima Uat 200 ml","Sense","200 ml","","https://cdn.batitienda.com/baticloud/images/product_picture_da4559ac77914c3fb67e87368e743032_638594758071149909_0_m.jpg"
"7790387013627","Yerba Mate Taragui 4flex 1/2kg","Taragui","1/2kg","","https://cdn.batitienda.com/baticloud/images/product_picture_b3590923b9374824b2fe252ee8beede0_637862128252407608_0_m.jpg"
"7793890258769","Pan Blanco Lactal x 315 g","Lactal","315 g","","https://cdn.batitienda.com/baticloud/images/product_picture_5f2f086436484bc0a519a51a480e899d_638241054111611064_0_m.jpg"
"7790580131470","Aguila Aguila Baño De Reposteria 150g","Aguila","150g","","https://cdn.batitienda.com/baticloud/images/product_picture_29a1ff2083254809a01527edd1c1e7fc_639133195623163333_0_m.jpg"
"7790580131494","Aguila Baño De Reposteria Blanco 150g","Aguila","150g","","https://cdn.batitienda.com/baticloud/images/product_picture_104cac03f8734e06845371bd8885dfdc_637862238161576380_0_m.jpg"
"7790580133641","Aguila Baño De Reposteria Celeste 150g","Aguila","150g","","https://cdn.batitienda.com/baticloud/images/product_picture_22b68b5fb78444ec97220a75f3d62ec9_637862239304965456_0_m.jpg"
"7790580133764","Aguila Baño De Reposteria Rosa 150g","Aguila","150g","","https://cdn.batitienda.com/baticloud/images/product_picture_27e4600bf31a4f9abbd51c8eaed6cb2d_639133193881155842_0_m.jpg"
"7790580131487","Aguila Baño De Reposteria S/Amargo150g","Aguila","150g","","https://cdn.batitienda.com/baticloud/images/product_picture_5e6bd5d1cd194520aee0f7321eba525d_639133192754062210_0_m.jpg"
"7792798014279","Cerveza Brahma Musica 2023 Sixpack 473 cc","Brahma","473 cc","","https://cdn.batitienda.com/baticloud/images/product_picture_6c44bf998078471f9254c07a78484a5a_638387395901801008_0_m.jpg"
"7792798005970","Cerveza Rubia Brahma 6 x 473 cc.","Brahma","473 cc","","https://cdn.batitienda.com/baticloud/images/product_picture_e23a56cef7984ddb803344207e00b631_638250441408963250_0_m.jpg"
"7792798007493","Cerveza Brahma Chopp Rubia 1lt Retornable (hasta 12 unidades)","Brahma","1lt","","https://cdn.batitienda.com/baticloud/images/product_picture_3ec9f72b4b1f4910a03c68c7c66b1532_637862326835655187_0_m.jpg"
"7792798014262","Cerveza Brahma Musica 1 lt Ret.","Brahma","1 lt","","https://cdn.batitienda.com/baticloud/images/product_picture_83765598025445fdb4dcd37e6d366f81_638385700627922526_0_m.jpg"
