codigo_interno,nombre_producto,precio_producto,url_imagen
154964,cereales primer precio granola 350grs,"3.549,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/3/1/e/31e8e95970fea9bfa719ad26fbe24d2b
287749,sabor en polvo alicante carne x4 30grs,"1.404,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/e/6/7/e67bd7aade79b81cd921a35d903fcc58
311087,caldo de verdura knorr deshidratado 12 cubos 114grs,"1.890,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/6/1/b/61b9726004d8f78eda1c64347e09b67d
957453,sal gruesa primer precio  1kgs,"1.490,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/3/c/4/3c4cda1a469f9d8cb12b30a35b72979d
139190,picadillo de carne swift 90grs,"890,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/3/0/a/30a92b77cbd4b240149b1797b8be4e08
311158,alimento en polvo a base de azúcar y cacao exquisita 150grs,"1.690,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/b/9/6/b96f2784b409de212fac1cd033257c5a
289565,sopa crema knorr zapallo con nuez moscada 70grs,"2.590,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/9/f/3/9f3641321279e76f7fcffc02987fd082
309318,arroz gallo oro parboil selección 1kgs,"2.490,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/a/9/3/a938f6d2dae681b14f412f0c54d6843b
316789,atún cooperativa lomitos al natural 160grs,"3.250,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/d/a/e/daee822fbf76cf7df0f24b2b84a48f79
272480,aceitunas verdes la toscana en rodajas 140grs,"2.459,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/7/4/1/74135d83ace8753acd7de84ff45ac1ba
316965,cebada instantánea el pocillo intensa doypack 115grs,"3.820,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/7/6/2/7623b92e09d1ee79d427f30015148099
286528,café torrado molido cabrales en saquitos 90grs,"4.590,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/1/6/f/16fa720d352aff410fec3368a745fdc8
716913,pan de hamburguesa schar sin gluten 130grs,"4.581,50",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/0/e/6/0e639c2fb1b4400949eab0ced59a3e0e
708170,untable a base de almendras felices las vacas sabor dulce de leche 250grs,"2.469,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/2/f/3/2f321a5136d8c4b113a6984e340a4cf3
311475,puré de tomate arcor 520grs,"699,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/6/9/4/6947a4c3be8805d6b01d31d4bae3bd99
279824,lentejas la abadía 400grs,"1.890,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/5/6/8/5683a9074679bf319717eaf00f489692
714527,hummus de garbanzos kamar sésamo y pimentón 230grs,"4.790,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/a/7/f/a7fe64d64987c35090ac1a9cd12a6f67
