"ID/EAN","NOMBRE","MARCA","PRESENTACION","ID_CATEGORIA","IMAGEN"
"7891010245214","Gel de Limpieza Facial Purified Skin Piel Mixta a Oleosa 150 Grs Neutrogena","NEUTROGENA","Gel De Limpieza Facial Purified Skin 150 Grs Neutrogena","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/884629/Gel-De-Limpieza-Purified-Skin-X-150-Gr-Neutrogena-1-580577.jpg?v=638943237086100000"
"7509552874013","Mascarilla Tratamiento Nutrición Palta 350 Ml Fructis","FRUCTIS","350 ml","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/888965/7509552874013_1.jpg?v=638975129850200000"
"7509552902532","Shampoo Elvive Reparación Total 5 Keratin 200 Ml","ELVIVE","200 ml","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/830807/Shampoo-Elvive-Reparaci-n-Total-5-Keratin-200-Ml-1-1019530.jpg?v=638588146685400000"
"7509546056111","Pasta Dental Triple Acción Xtra Blancura 150 Grs Colgate","COLGATE","Pasta Dental Triple Acción Extra Blancura 150 Gr Colgate","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/866599/Pasta-Dental-Triple-Acci-n-Extra-Blancura-150-Gr-Colgate-1-245038.jpg?v=638823153975030000"
"7509552922226","Acondicionador Fructis Recarga Nutritiva 200 Ml","FRUCTIS","200 ml","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/807794/Acondicionador-Fructis-Regarga-Nutritiva-200ml-1-999763.jpg?v=638415454357970000"
"7500435142557","Shampoo Anti-Caspa Hidratación Aceite de Coco 375 Ml Head y Shoulders","HEAD & SHOULDERS","375 ml","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/819962/Shampoo-Head-Shoulders-Coconut-375-Ml-Shampoo-Head-Shoulders-Hidrataci-n-Aceite-De-Coco-375-Ml-1-846305.jpg?v=638491378901130000"
"7500435249348","Shampoo Nuhoney 375 Ml Head & Shoulders","HEAD & SHOULDERS","375 ml","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/857336/Shampoo-Head-Shoulders-Nuhoney-375ml-1-1034563.jpg?v=638757705684370000"
"7791274198076","Talco para Pies Suave Floral 200 Grs Algabo","ALGABO","Repuesto Talco Desodorante Suave 200 Gr Algabo","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/861028/Repuesto-Talco-Desodorante-Suave-200-Gr-Algabo-1-760658.jpg?v=638792805890400000"
"7891010255237","Enjuague Bucal Cool Mint Frescura Intensa 500 Ml Listerine","LISTERINE","500 ml","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/865920/7891010255237_1.jpg.jpg?v=638816137857100000"
"7791274196010","Repuesto Jabón Líquido Citrus Splash 300 Ml Algabo","ALGABO","300 ml","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/861012/Repuesto-Jab-n-L-quido-Citrus-Splash-300-Ml-Algabo-1-33817.jpg?v=638792805835400000"
"7791293045801","Shampoo Sedal Crema Balance 650 Ml","SEDAL","650 ml","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/906376/Shampoo-Sedal-Crema-Balance-650-Ml-1-944696.jpg?v=639123826686400000"
"7891150097131","Máscara de Tratamiento Bond Intense Repair 250 Grs Dove","DOVE","Máscara De Tratamiento Dove Bond Intense Repair 250 Gr","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/856913/M-scara-De-Tratamiento-Dove-Bond-Intense-Repair-250-Gr-1-1019377.jpg?v=638755979975000000"
