ean,codigo_interno_coope
77953537,263929
77969088,282573
7792860007963,215726
7790580199913,155035
7622210745620,271351
7790580607418,178542
7622201812744,284436
7790580033408,172994
7790580105013,244925
7790580132958,312467
7790070336361,296575
7790070320025,242053
7790199000020,939048
7790199000051,276234
7799037060332,294866
7792180136657,281075
7792180004901,220014
7790070317452,192378
7799037145145,294867
7793890259025,713285
7793890258998,713283
7793890259087,713492
7891962060453,281040
7793890259605,714497
7891962060460,281041
7790071070134,309639
7790199604198,296320
7790199604181,296319
7792180139610,286731
7622201819699,296338
7622201820473,296343
7790070431318,294755
7790070431332,294757
7622201706029,296331
7622201704643,296321
7622201705107,296326
7898024394181,131673
7790580131487,284493
7792180009074,706006
7790580134327,284489
7898024395232,238672
7790580133344,285108
7790580131470,284494
7790150460474,287746
7790580133641,284490
7622201705480,296332
736684208738,285890
7798151953377,299113
7794520869010,294768
7798151953131,292986
7790310985526,299346
7790310985465,299335
7790310985434,299338
7790310983553,313850
7794000006911,294596
7794000005839,289560
7794000005822,289559
7794000006928,294589
7794000005853,289561
7790150440131,290298
7790150440483,290296
8445290702234,299263
7795323002420,238840
7795323775225,714316
7790010002943,186618
7500435228770,307799
7500435228763,307798
7794626012952,307898
7790250042082,309750
7790250042068,309748
7790250042075,309749
7794626012945,307897
7794626012846,307896
7794626012839,307895
7500435228572,307791
7794626013270,308050
7794626012914,311965
7794626013287,308051
7794626013294,308052
7794626013386,307370
7794626013300,308053
7790250042051,309747
7790250040798,310943
7794626012938,308054
7790250040774,310941
7790250040781,310942
7794626013362,307371
7798350081260,307365
7798350081284,307364
7798350082328,307363
7790064104808,305591
7794626011023,305875
7891010251024,304907
4015400763697,306448
7891010247324,304707
7794626011092,305877
7891010568771,233212
7794626011047,305876
7891136057029,217463
7790950000160,110728
7790950140859,282958
7790950134100,266603
7790950202816,238706
7791200000619,266606
7790950202823,238707
7792410779357,310045
7790950610574,270190
7790290001179,111333
7790290101602,118460
7790290101459,279246
7792410523165,293028
7790290101473,278547
7790139002879,157174
7792410532426,296743
7790290101527,280858
7792410522717,284925
7792410532181,296746
5000281015248,285548
5000267014005,199230
763571806012,317263
5000267024011,191655
724751009876,317262
80432402931,290689
5000299618417,280894
7791250002243,997546
7891050004741,296744
7501035010109,169978
7312040017683,295362
5010106113073,290665
7792410523806,296747
5011007003005,290663
7312040350056,296733
7790290101657,286329
7791250003097,290725
736684265243,287007
7792410532167,296745
5000291023462,285549
7792410527903,945986
7792410527880,296748
7791200200583,266611
7791200200606,281767
7792410533102,310044
7792798012770,293951
5000267165806,313140
897076002010,284267
7792410008105,112453
7792410504324,199927
7792410008365,135488
7792410008006,112461
7790260013065,103519
6001495062508,117963
5011013100132,109967
7790260013300,170801
7792410008051,102792
7790260016011,138819
7794068000142,442987
7794068001057,442988
7794068000111,255925
7790260002076,109347
7792410134729,231414
7790260013287,103497
7790260013256,152618
7792410008259,104086
5000281003160,102768
7792798003709,874140
7792798007387,254034
7792798010561,104971
7793147001025,311056
7792798003716,130039
7793147570743,274468
