codigo_interno,nombre_producto,precio_producto
317759,fideos primer precio ñoquis 500grs,"699,00"
317762,fideos primer precio ave maría 500grs,"699,00"
322358,salsa tau guacamole 290grs,"4.990,00"
291046,té la virginia sabor manzana y canela 40grs,"2.405,00"
283206,maíz blanco primer precio pisado 400grs,"1.690,00"
279371,galletitas dulces okebon leche clásicas 273grs,"1.785,00"
321314,premezcla para preparar chipá pureza sin gluten 250grs,"4.089,00"
313205,cápsulas de café la virginia extra intenso n°12 52grs,"9.200,00"
288889,cápsulas de café morenita tostado etiopía 52grs,"9.441,00"
138176,palmitos primer precio enteros al natural 400grs,"3.990,00"
299894,mermelada carmela artesanales mora frasco 460grs,"6.300,00"
316696,caldo en cubos primer precio gallina 57grs,"849,00"
310650,papas pay quento snacks 110grs,"2.249,00"
454590,choritos gomes da costa en aceite y agua 190grs,"4.990,00"
317021,caldo de verduras granulado knorr cero sodio 24grs,"1.729,00"
278791,galletitas dulces primer precio hojaldre triangulitos 150grs,"1.390,00"
322251,dulce de leche la serenisima zero lactosa 250grs,"3.300,00"
