ID/EAN,NOMBRE,MARCA,PRESENTACION,ID_CATEGORIA
"7891024020197","Cepillo Dental Ultra Soft Elmex 1 Un","ELMEX","1.0 un","090402"
"7891024020210","Cepillo Dental Ultra Soft Elmex 2 Un","ELMEX","2.0 un","090402"
"7891024064313","Cepillo Dental SlimSoft Advanced Colgate 2 Un","COLGATE","2.0 un","090402"
"7891024068007","Cepillo Dental Orthogard Colgate 1 Un","COLGATE","1.0 un","090402"
"0070942002332","Cepillo Sonic Power Deep Clean Gum 1 Un","GUM","1.0 un","090402"
"0070942002141","Repuesto Cepillo Sonic Gum 2 Un","GUM","2.0 un","090402"
"7896015591823","Cepillo Dental Sensibilidad Sensodyne 1 Un","SENSODYNE","1.0 un","090402"
"8058664075201","Cepillo de Dientes para Chicos 3 a 6 Años Nena Chicco 1 Un","CHICCO","1.0 un","090402"
"7509546074399","Cepillo Dental Slim Soft Black Colgate 3 un","COLGATE","3.0 un","090402"
"7509546065465","Cepillo Dental 360 Black Colgate 2 Un","COLGATE","2.0 un","090402"
"7509546678733","Cepillo Dental Encias Therapy Colgate 2 Un","COLGATE","2.0 un","090402"
"7500435170970","Cepillo Dental Sensitive Extra Soft Oral B 1 Un","ORAL B","1.0 un","090402"
"7891024131183","Enjuague Bucal Menta Fresca Colgate 500 Ml","COLGATE","500.0 ml","090403"
"7891010255237","Enjuague Bucal Cool Mint Listerine 500 Ml","LISTERINE","500.0 ml","090403"
"7891024136409","Enjuague Bucal Plax Menta con Fluor Colgate 250 Ml","COLGATE","250.0 ml","090403"
"7891024030806","Enjuague Bucal Minions Colgate Plax Kids 250 Ml","COLGATE","250.0 ml","090403"
"7891010255312","Enjuague Bucal Freshburst Frescura Intensa Listerine 500 Ml","LISTERINE","500.0 ml","090403"
"7891010255350","Enjuague Bucal Cool Mint Frescura Suave Listerine 250 Ml","LISTERINE","250.0 ml","090403"
"7891010255367","Enjuague Bucal Cuidado Total Menta Fresca Listerine 500 Ml","LISTERINE","500.0 ml","090403"
"7891010255251","Enjuague Bucal Antisarro Listerine 500 Ml","LISTERINE","500.0 ml","090403"
"7509546686622","Enjuague Bucal Carbon Total 12 Colgate 250 Cc","COLGATE","250.0 cc","090403"
"7891010255374","Enjuague Bucal Cuidado Total Frescura Intensa Listerine 250 Ml","LISTERINE","250.0 ml","090403"
"7891010255398","Enjuague Bucal Cuidado Total Frescura Suave Listerine 250 Ml","LISTERINE","250.0 ml","090403"
"7891010255299","Enjuague Bucal Pro Encias Listerine 500 Ml","LISTERINE","500.0 ml","090403"
"7891024028018","Enjuague Bucal Zero Alcohol ColgateTotal 12 Clean Mint 500 Ml","COLGATE","500.0 ml","090403"
"7891010255275","Enjuague Bucal Antisarro Frescura Suave Listerine 500 Ml","LISTERINE","500.0 ml","090403"
"7891024025406","Enjuague Bucal Plax Ice Colgate 500 Ml","COLGATE","500.0 ml","090403"
"7891024130940","Enjuague Bucal Soft Mint Plax 250 Ml","COLGATE","250.0 ml","090403"
"7509546686615","Enjuague Bucal Carbon Total 12 Colgate 500 Cc","COLGATE","500.0 cc","090403"
"7791274200847","Enjuague Bucal Cool Mint Algabo 250 Ml","ALGABO","250.0 ml","090403"
"7891024179420","Enjuague Bucal con Fluor Luminous White Colgate 250 Ml","COLGATE","250.0 ml","090403"
"7509546666990","Enjuague Bucal Total 12 Encias Reforzadas Colgate 500 Ml","COLGATE","500.0 ml","090403"
"7793100141393","Enjuague Bucal Kids Magic 6 An?os Colgate Plax 250 Ml","COLGATE","250.0 ml","090403"
"7891024028834","Enjuague Bucal Zero Alcohol Colgate Total 12 Clean Mint 250 Ml","COLGATE","250.0 ml","090403"
"7891024130957","Enjuague Bucal Soft Mint Plax 500 Ml","COLGATE","500.0 ml","090403"
"7509546679532","Enjuague Bucal Odor Control Plax Colgate 500 Ml","COLGATE","500.0 ml","090403"
"7509546679617","Enjuague Bucal Fresh Mint Plax Colgate 750 Ml","COLGATE","750.0 ml","090403"
"7793100141201","Enjuague Bucal Menta con Fluor Colgate Plax 250 Ml","COLGATE","250.0 ml","090403"
"7891010255244","Enjuague Bucal Cool Mint Listerine 250 Ml","LISTERINE","250.0 ml","090403"
"7891010255343","Enjuague Bucal Cool Mint Suave Listerine 500 Ml","LISTERINE","500.0 ml","090403"
"7891010255381","Enjuague Bucal Cuidado Total Frescura Suave Listerine 500 Ml","LISTERINE","500.0 ml","090403"
"7891010255404","Enjuague Bucal Anticaries Frescura Extra Suave Listerine 500 Ml","JOHNSONS &JOHNSONS","500.0 ml","090403"
"7891024027363","Enjuague Bucal Ice Infinity Plax Colgate 60 Ml","COLGATE","60.0 ml","090403"
"7891024039625","Enjuague Bucal Ice Infinity Plax Colgate 180 Ml","COLGATE","180.0 ml","090403"
"7891010255282","Enjuague Bucal Antisarro Suave Listerine 250 Ml","LISTERINE","250.0 ml","090403"
"8718951193611","Enjuague Bucal Anticaries Elmex 400 Ml","ELMEX","400.0 ml","090403"
"7891024027998","Enjuague Bucal Plax Total Antisarro Colgate 500 Ml","COLGATE","500.0 ml","090403"
"7891010255268","Enjuague Bucal Antisarro Listerine 250 Ml","LISTERINE","250.0 ml","090403"
"7798270246756","Enjuegue Bucal sin Alcohol Mentol 500 Ml","EQUATE","500.0 ml","090403"
"7792175007054","Gel Antiseptico Bucal Plac Out 60 Gr","PLAC OUT","60.0 gr","090403"
"7891024036570","Enjuague Bucal Orthogard Colgate 250 Ml","COLGATE","250.0 ml","090403"
"8718951193642","Enjuague Bucal Sensitive Elmex 400 Ml","ELMEX","400.0 ml","090403"
"7792175001090","Colutorio Antiseptico Antiplaca Nf Plac Out 200 Ml","PLAC OUT","200.0 ml","090403"
"7501086453016","Enjuague Bucal Complete Oral B 500 Ml","ORAL B","500.0 ml","090403"
"7791274200854","Enjuague Bucal Cool Mint Algabo 500 Ml","ALGABO","500.0 ml","090403"
"7891024131459","Enjuague Bucal Colgate Zero 500 Ml","COLGATE","500.0 ml","090403"
"7509546686325","Enjuague Bucal Clasico Plax Colgate 250 Ml","COLGATE","250.0 ml","090403"
"7891010255329","Enjuague Bucal Freshburst Listerine 250 Ml","LISTERINE","250.0 ml","090403"
"7509546679525","Enjuague Bucal Ice Infinity Plax Colgate 250 Ml","PLAX","250.0 ml","090403"
"7891010255411","Enjuague Bucal Anticaries Frescura Extra Suave Listerine 250 Ml","LISTERINE","250.0 ml","090403"
"7509546686509","Crema Dental Triple Accion Colgate 180 Gr","COLGATE","180.0 gr","090404"
"7509546686516","Crema Dental Triple Beneficios Colgate 140 Gr","COLGATE","140.0 gr","090404"
"7793100111891","Crema Dental Ultra Blanco Colgate 90 Gr","COLGATE","90.0 gr","090404"
"7891024134429","Crema Dental Sensitive Blanqueador Colgate 100 Gr","COLGATE","100.0 gr","090404"
"7891024034095","Crema Dental Colgate Kids Frutilla 50 Gr","COLGATE","50.0 gr","090404"
"7509546686042","Crema Dental Carbon Act Total 12 Colgate 90 Gr","COLGATE","90.0 gr","090404"
"7896015520045","Crema Dental Blanqueadora Sensodyne Extra Fresh 90 Gr","SENSODYNE","90.0 gr","090404"
"7509546686523","Crema Dental Triple Accion Colgate 90 Gr","COLGATE","90.0 gr","090404"
"7509546687278","Crema Dental Doble Proteccion Odol 180 Gr","ODOL","180.0 gr","090404"
"7798142351205","Crema Dental Paw Patrol Gum 100 Gr","GUM","100.0 gr","090404"
"7509546687292","Crema Dental Doble Proteccion Odol 90 Gr","ODOL","90.0 gr","090404"
"7891024135020","Crema Dental Total 12 Whitening Colgate 90 Gr","COLGATE","90.0 gr","090404"
"7891024005064","Crema Dental Colgate Luminuos White 140 Gr","COLGATE","140.0 gr","090404"
"7509546665979","Crema Dental Triple Frescura Kolynos 90 Gr","KOLYNOS","90.0 gr","090404"
"7891024132647","Crema Dental Sensitive Pro Alivio Colgate 110 Gr","COLGATE","110.0 gr","090404"
"7891024123027","Crema Dental Luminous White Colgate 90 Gr","COLGATE","90.0 gr","090404"
"7509546654034","Crema Dental Total 12 Anti Sarro Colgate 90 Gr","COLGATE","90.0 gr","090404"
"7500435150248","Pasta Dental Extra Blancura Oral B 70 Gr","ORAL B","70.0 gr","090404"
"7509546686035","Crema Dental Carbon Act Total 12 Colgate 140 Gr","COLGATE","140.0 gr","090404"
"7506295388487","Crema Dental White 3D Oral B 70 Gr","ORAL B","70.0 gr","090404"
"7891037744257","Gel Dental Menthol Paradise Close Up 90 Gr","CLOSE UP","90.0 gr","090404"
"7509546056098","Crema Dental Triple Accion Colgate 103 Gr","COLGATE","103.0 gr","090404"
"7509546066776","Crema Dental Minions + 6 Años Colgate 75 Gr","COLGATE","75.0 gr","090404"
"7896015591106","Pasta Dental Sensodyne Limpieza profunda 90 Gr","SENSODYNE","90.0 gr","090404"
"7793100120275","Crema Dental Proteccion Refrescante Kolynos 90 Gr","KOLYNOS","90.0 gr","090404"
"7793100120282","Crema Dental Proteccion Refrescante Kolynos 180 Gr","KOLYNOS","180.0 gr","090404"
"7500435127363","Dentifrico Mickey Oral B 50 Gr","ORAL B","50.0 gr","090404"
"7896009419294","Crema Dental Sensodyne MultiProteccion 90 Gr","SENSODYNE","90.0 gr","090404"
"7509546651057","Crema Dental Charcoal Luminous White Colgate 90 Gr","COLGATE","90.0 gr","090404"
"7798142356583","Crema Dental White Grum 120 Gr","GUM","120.0 gr","090404"
"7896009419324","Crema Dental Sensodyne Original 90 Gr","SENSODYNE","90.0 gr","090404"
"7891024131909","Crema Dental Colgate Triple Accion 50 Gr","COLGATE","50.0 gr","090404"
"7794640170720","Crema Dental Blanqueadora Sensodyne Repara y Proteje 100 Gr","SENSODYNE","100.0 gr","090404"
"7891024123362","Crema Dental Max White Crystal Mint Colgate 180 Gr","COLGATE","180.0 gr","090404"
"7896015591786","Crema Dental Sensibilidad Encias Sensodyne 100 Gr","SENSODYNE","100.0 gr","090404"
"7509546668055","Crema Dental Total 12 Encias Reforzadas Colgate 90 Gr","COLGATE","90.0 gr","090404"
"0070942003551","Cepillo Dental Trolls Gum 2 Un","GUM","1.0 un","090404"
"3014260279165","Crema Dental Power Rangers Princess Oral B 75 Ml","ORAL B","75.0 ml","090404"
"7798142350222","Crema Dental Blanqueadora con Fluor Gum 100 Gr","GUM","100.0 gr","090404"
"7896009498091","Crema Dental Complete Protection Sensodyne 90 Gr","SENSODYNE","90.0 gr","090404"
"7891024123188","Crema Dental Max White Colgate 90 Gr","COLGATE","90.0 gr","090404"
"7896015527457","Crema Dental en Crema Parodontax con Fluor 90 Gr","PARODONTAX","90.0 gr","090404"
"6920354822193","Crema Dental Natural Colgate 90 Gr","COLGATE","90.0 gr","090404"
"7506339398427","Crema Dental Stages Frozen Oral B 75 Gr","ORAL B","75.0 gr","090404"
"5054563054975","Crema Dental Complete Protection Parodontax Caja 126 Gr","PARODONTAX","126.0 gr","090404"
"8906038784863","Pasta Dental Ayurvedica Sudanta 200 Gr","SUDANTA","200.0 gr","090404"
"0070942003803","Crema Dental Trolls Gum 100 Gr","GUM","100.0 gr","090404"
"7509546056111","Crema Dental Triple Accion White Colgate 153 Gr","COLGATE","153.0 gr","090404"
"7509546069609","Crema Dental Luminous White Colgate 70 Gr","COLGATE","70.0 gr","090404"
"7509546653402","Crema Dental Sensitive Pro-Alivio Colgate 140 Gr","COLGATE","140.0 gr","090404"
"7509546667577","Crema Dental Luminous White Lovers Colgate 70 Gr","COLGATE","70.0 gr","090404"
"7509546677538","Crema Dental Anticaries Colgate 90 Gr","COLGATE","90.0 gr","090404"
"7509546677545","Crema Dental Maxima Preteccion Anticaries Colgate 180 Gr","COLGATE","180.0 gr","090404"
"7509546688336","Crema Dental Blanqueadora Colgate Total 12 90 Gr","COLGATE TOTAL 12","90.0 gr","090404"
"7509546688404","Crema Dental Original Colgate Total 12 140 Gr","COLGATE TOTAL 12","140.0 gr","090404"
"7792175001878","Medicamento Fluordent P Crema Dental 60 Gr","OT PAS DENT","60.0 gr","090404"
"7792175001885","Medicamento Fluordent P Crema Dental 120 Gr","OT PAS DENT","120.0 gr","090404"
"7792175001892","Medicamento Fluordent B Crema Dental 60 Gr","OT PAS DENT","60.0 gr","090404"
"7792183486735","Crema Dental Dientes Sensibles Emoform 100 Gr","EMOFORM","100.0 gr","090404"
"7793100111143","Crema Dental Clean Mint Colgate 90 Gr","COLGATE","90.0 gr","090404"
"7793100130236","Crema Dental Concentrada Noc 10 70 Gr","NOC 10","70.0 gr","090404"
"7793100130243","Crema Dental Colgate Periogard 90 Gr","COLGATE","90.0 gr","090404"
"7794066000014","Crema Dental en Gel Fluorogel 2001 Menta 60 Gr","FLUOROGEL","60.0 gr","090404"
"7794066000144","Crema Dental en Gel Niños Fluorogel 2001 60 Gr","FLUOROGEL","60.0 gr","090404"
"7794066000267","Crema Dental en Gel Fluorogel 2001 Blanqueadora 60 Gr","FLUOROGEL","60.0 gr","090404"
"7794066000625","Crema Dental en Gel Fluorogel 2001 Dientes Sensibles Menta 60 Gr","FLUOROGEL","60.0 gr","090404"
"7794640170133","Crema Dental Sensodyne Repara y Protege 100 Gr","SENSODYNE","100.0 gr","090404"
"7794640170386","Crema Dental en Crema Parodontax Blanqueadora 116 Gr","PARODONTAX","116.0 gr","090404"
"7794640172472","Crema Dental Rapido Alivio Blanqueador Sensodyne 100 Gr","SENSODYNE","100.0 gr","090404"
"7798032936765","Crema Dental Junior Tutti Frutti Fluorogel 60 Gr","FLUOROGEL","60.0 gr","090404"
"7798034747406","Gel Dental Whitening con Papaina Bucal Tac x 90 Gr","BUCAL TAC","90.0 gr","090404"
"7798142350468","Crema Dental Gum Infantil 100 Gr","GUM","100.0 gr","090404"
"7798142350567","Crema Dental Sensitive Gum 90 Gr","GUM","90.0 gr","090404"
"7891024002490","Crema Dental Terapeutico Clean Mint Total 12 Colgate 140 Gr","COLGATE","140.0 gr","090404"
"7891024033715","Crema Dental Total 12 Clean Mint Colgate 50 Gr","COLGATE","50.0 gr","090404"
"7891024124628","Crema Dental Sens Proalivio Blanqueador Colgate 110 Gr","COLGATE","110.0 gr","090404"
"7896009498572","Crema Dental Sensible y Esmalte Sensodyne 100 Gr","SENSODYNE","100.0 gr","090404"
