ID/EAN,NOMBRE,MARCA,PRESENTACION,ID_CATEGORIA
7798342151391,Medallón Sabor Tradicional Carne Vegana x 2 Un 240 Grs Notburguer,NOTBURGUER,Medallón The Not Co Premium Not Burger 240 Gr X 2 U,congelados
7790670052739,Medallones de Sabor Arvejas y Brócoli 380 Grs x 4 Un Green Life,GREEN LIFE,Medallon Green Life Arveja Y Brocoli X 4 380 Gr,congelados
7790360982254,Nuggets de Espinaca 300 Grs Swift,SWIFT,Nuggets De Espinaca X 300 Gr Swift,congelados
7891515588410,Bastones de Pollo Sabor Crocantes 300 Grs Sadia,SADIA,Crunchy Chicken Golden X 300 Gr Sadia,congelados
7790670052555,Choclo Amarillo 350 Grs Green Life,GREEN LIFE,Choclo Green Life 350 Gr,congelados
7798342151971,Milanesa Sabor Semillas Congelada x 2 Un 220 Grs Notco,NOTMILA,Notmila Con Semillas 2 Un X 110 Grs Notco,congelados
7790670052715,Medallones de Verduras Sabor Espinaca y Pimientos 380 Grs x 4 Un Green Life,GREEN LIFE,Medallon Green Life Espinaca Y Pimento X 4 380 Gr,congelados
7790670052609,Arvejas Congeladas 350 Grs Green Life,GREEN LIFE,Arveja Green Life 350 Gr,congelados
7790174001301,Medallones de Verduras 300 Grs x 4 Un Vegetalex,VEGETALEX,Medallón Verduras 300 Gr Vegetalex,congelados
7792180143402,Pizza Sabor Mozzarella y Jamón Familiar Precocida x 1 Un 675 Grs Pietro,PIETRO,Pizza Pietro Mozzarella Y Jamon 510g,congelados
7790174001325,Medallones de Legumbres y Quinoa 300 Grs x 4 Un Vegetalex,VEGETALEX,Medallón Legumbres 300 Gr Vegetalex,congelados
7891000115619,Alimento Para Perros Dog Chow Adultos 100 Gr,DOG CHOW,100 gr,mascotas
7806810221009,Rallador Manual Acero Inoxidable 1 Un Ilko,ILKO,Rallador Ilko,hogar-y-textil
7806810210010,Tostador Manual Aluminio 1 Un Ilko,ILKO,Tostador  Ilko 121001 Aluminio - Negro Y Plateado,hogar-y-textil
7806810200028,Molde Redondo Acero Estañado 26 Cm x 1 Un Ilko,ILKO,Molde Ilko - 26 Cm – Plateado,hogar-y-textil
7793015001041,Repuesto Termo Vidrio 1 Lts 29 Cm x 1 Un Lumilagro,SD,1 lts,hogar-y-textil
7806810209670,Moldes Tarteletas Acero Inoxidable 12 Cm x 4 Un Ilko,ILKO,Set 4 Tarteletas Ilko 12 Cm Ilko,hogar-y-textil
7790503199099,Arroz Parboil Dos Hermanos 1 Kg,Dos Hermanos,1 kg,500039
7622202839962,Galletitas Dulces Terrabusi Variedad 390 G,Terrabusi,390 g,500306
7792200000319,Bizcochos 9 De Oro Azucaradas 210g,9 De Oro,210g,500306
7792180004741,Pan Rallado Mama Cocina 500 G,Mama Cocina,500 g,500636
7622202293733,Galletita Club Social Sabor Original 144gr,Club Social,144gr,500685
7790070265333,Aceite Fritolim Cocinero Clásico 120 G,Cocinero,120 g,500024
7790040719804,Galletita Snacks Rex 125 Gr,Rex,125 gr,500685
7790150150276,Café Instantáneo La Virginia Tostado 150 G,La Virginia,150 g,500290
7790503000296,Aritos De Arroz Sabor Crema Y Cebolla Dos Hermanos 80 Gr,Dos Hermanos,80 gr,300174
7790040143517,Galletitas Dulces Rumba Rellenas De Vainilla 110 G,Rumba,110 g,500305
7794000008274,Caldo De Verduras Knorr Cero Sodio 96 G,Knorr,96 g,300087
7790070335982,Fideos Tirabuzón Matarazzo Libre De Gluten 500gr,Matarazzo,500gr,500051
7790045827733,Galletitas Granix Sin Sal 200 G,Granix,200 g,500278
7794000008281,Caldo Knorr De Verduras Cero Sodio 48 G 6u,Knorr,48 g,300087
7790272008394,Aceite De Oliva Natura Virgen Extra Suave 500 Ml,Natura,500 ml,500023
7798224212080,Ají Molido La Parmesana 15 G,La Parmesana,15 g,300114
7790199602910,Pan Rallado Morixe X 500 Gr,Morixe,500 gr,500636
7790070507372,Jugo De Limón Eco Minerva 250 G,Minerva,250 g,500010
7794870000330,Aceite Mezcla Siglo De Oro 900 Ml,SIGLO DE ORO,900 ml,500025
7798224213261,Jengibre Molido La Parmesana 15 G,La Parmesana,15 g,300114
7790310986615,Chizitos De Maiz Maicitos Pehuamar 265 Gr,Pehuamar,265 gr,500681
7798151953551,Pasta De Maní Mani King Vita 350 G,Mani King,350 g,500283
7798224212363,Condimento La Parmesana Para Curry 15 G,La Parmesana,15 g,300114
7792180140562,Pan Rallado Mama Cocina Con Ajo Y Perejil 500g,Mama Cocina,500g,500636
7793890259261,Pan De Mesa Lactal De Salvado Con Semillas 330 G,Lactal,330 g,500633
7794520869294,Papas Fritas Krachitos Tradicionales 105 G,Krachitos,105 g,500680
7794520869355,Papas Fritas Krachitos Corte Americano 275 G,Krachitos,275 g,500680
7792200000791,Sconcitos 9 De Oro 200g,9 De Oro,200g,500306
7793750009777,Yerba Mate Suave Pipore 1kg,Pipore,1kg,500297
7793890262131,Pan Blanco Bimbo 580 G,Bimbo,580 g,500631
7792180146106,Galletitas Saladas 9 De Oro Crujitas Queso 120 G,9 De Oro,120 g,500685
7791120037559,Arroz Molinos Ala Dorado 1 Kg,Molinos Ala,1 kg,500039
7793890262162,Pan Fargo Salvado 600 G,Fargo,600 g,500632
7790387001440,Té Taragui Mezcla De Hierbas 20u,Taragui,,500293
7798125811085,"Galletitas Dulces Tostex Con Avena Sabor Arándanos, Pasas Y Naranja 270 G",Tostex,270 g,500304
7798031470871,Fideos Multicereal Wakas Quinoa Fusilli 300 G,Wakas,300 g,500051
7793890260724,Tortillas Con Trigo Tia Rosa Fajitas 10 U 275 G,Tia Rosa,275 g,300355
7794520869034,Bastonitos Krachitos Sabor Extra Queso 150g,Krachitos,150g,500685
7792180007254,Mini Crackers Paseo Sin Sal 300g,Paseo,300g,500278
7798224212035,Chimichurri La Parmesana En Polvo 15 G,La Parmesana,15 g,300114
7790580152123,Caramelos Arcor Menta Con Chocolate 80 G,Arcor,80 g,500518
7790580152130,Caramelos Arcor Rellenos Frutales 80gr,Arcor,80gr,300287
7790387001464,Té Taragui Ensueños 20u,Taragui,,500294
7790070336668,Spaghetti Rina Matarazzo Con Morrón 500 G,Matarazzo,500 g,500051
