# Scraping: 2026-04-29 17:23:02
ean,nombre,precio
ean_desconocido,Lleva 1 gin Brighton 700cc + 1 paso toro tónica 1.5L,$10.900
ean_desconocido,Lleva! 1 vodka sernova + 1 jugo naranja tetra,$9.990
ean_desconocido,PROMO! 2 AEROSOLES AMBAR,$8.600
ean_desconocido,PROMO! 2 Atun Cumana,$2.990
ean_desconocido,PROMO! 2 bizcochos gallo salados  x 100 gr,$3.500
ean_desconocido,PROMO! 2 Doc. EMPANADAS Criollas ORALI,$3.990
ean_desconocido,PROMO! 2 EMPANADAS LINEA VERDE,$3.490
ean_desconocido,PROMO! 2 FIDEOS ORALI,$4.190
ean_desconocido,PROMO! 2 gaseosas Secco,$3.790
ean_desconocido,PROMO! 2 LECHES LA SERENISIMA SACHET,$3.700
ean_desconocido,PROMO! 2 Pan lactal RICA Comun/Salvado,$5.590
ean_desconocido,PROMO! 2 Pure de tomate Mora,$1.490
ean_desconocido,PROMO! 2 pure de tomate SALSATI x 520 grs,$1.398
ean_desconocido,PROMO! 2 Ravioles Don Yeyo,$4.990
ean_desconocido,PROMO! 2 Tartas linea verde,$4.990
ean_desconocido,PROMO! 2 TORTILLAS ORALI,$3.200
ean_desconocido,PROMO! 2 Tostadas de Arroz Manieri,$3.350
ean_desconocido,PROMO! 2 Tostadas manieri 4 semillas,$3.350
ean_desconocido,PROMO! 2 tostadas Manieri clasica/dulce/salvado/sin sal,$2.990
ean_desconocido,PROMO! 2 tostadas Manieri Light,$3.350
ean_desconocido,PROMO! 200 grs jamon natural + 200 grs barra,$4.290
ean_desconocido,Promo! Campari + 1 jugo naranja TUTTI/PINDAPOY,$11.900
ean_desconocido,PROMO CUMPLE 1! 60 SALCHICHAS + 60 PANCHOS + 4 GASEOSAS + 2 CHIZITOS,$48.900
ean_desconocido,PROMO CUMPLE 2! 30 SALCHICHAS+ 30 PANCHOS + 2 GASEOSAS + 1 CHIZITOS,$24.990
ean_desconocido,PROMO CUMPLE 3! 40 HAMBURGUESAS + 40 PANES DE HAMBURGUESA + 4 GASEOSA,$59.990
ean_desconocido,PROMO CUMPLE 4! 20 HAMBURGUESAS + 20 PANES DE HAMBURGUESA,$23.990
ean_desconocido,PROMO! Lleva 1 gancia x 950 ml + 1 Seven upx 1.5 lts,$8.990
ean_desconocido,PROMO! sodas sifon secco,$2.590
000000000000570,TABLA DE FIAMBRES CHICA,$15.900
000000000000571,TABLA DE FIAMBRES GRANDE,$29.900
7791337007956,Bebida a Base de Almendras Silk Sabor Chocolate 1 lt.,$4.200
7791337007932,Leche de Almendras Silk de Coco Sin Azúcar Tetra 1 lt.,$4.200
7791337007925,Leche de Almendras Silk de Coco Tetra 1 lt.,$4.200
7791337007949,Leche de Almendras Silk de Vainilla Tetra 1 lt.,$4.200
7791337007901,Leche de Almendras Silk Endulzada Tetra 1 lt.,$4.200
7791337007918,Leche de Almendras Silk Sin Azúcar Tetra 1 lt.,$4.200
7791337008052,Yogur Bebible Deslactosado La Serenísima Sabor Frutilla en Sachet 900 g.,$4.900
7791337008069,Yogur Bebible Deslactosado La Serenísima Sabor Vainilla en Sachet 900 g.,$4.900
7791337010475,Sachet Yogur Descremado Frutilla la Serenísima Nutrición Activa 900 Grs,$2.600
7791337010468,Sachet Yogur Descremado Sabor Vainilla la Serenísima Nutrición Activa 900 Grs,$2.600
7791337008380,Yogur Bebible Descremado La Serenísima Sabor Frutilla en Sachet 900 cc.,$4.050
7791337008366,Yogur Bebible Descremado La Serenísima Sabor Vainilla en Sachet 900 cc.,$4.050
7791337008342,Yogur Bebible Entero La Serenísima Sabor Durazno en Sachet 900 g.,$4.050
7791337008335,Yogur Bebible Entero La Serenísima Sabor Frutilla en Sachet 900 g.,$4.050
7791337008311,Yogur Bebible Entero La Serenísima Sabor Vainilla en Sachet 900 g.,$4.050
7791337010376,Yogur Bebible la Serenísima Sabor Durazno en Sachet 900 Grs,$2.000
7791337010215,Yogur Bebible la Serenísima Sabor Frutilla en Sachet 900 Grs,$2.000
7791337010369,Yogur Bebible la Serenísima Sabor Vainilla en Sachet 900 Grs,$2.000
7791337061422,Queso Crema La Serenísima Clásica en Pote 290 g.,$2.300
7791337061439,Queso Crema La Serenísima Light en Pote 290 g.,$2.300
7792798013975,Cerveza Blanca Stella Artois en Lata 710 cc.,$4.990
7792798013982,Cerveza Blanca Stella Artois en Lata X4 710 cc.,$19.960
7791337061361,Queso Crema Casancrem Clásico 290 g.,$3.100
7791337061385,Queso Crema Casancrem Light 290 g.,$3.100
7791337060944,Queso Crema Light Casancrem Sin Sal en Pote 290 g.,$3.900
7791337007376,Ls Yogur Batido La Serenisima Entero Durazno 120 xg,$1.400
7791337007369,Ls Yogur Batido La Serenisima Entero Frutilla 120 xg,$1.400
7791337007437,Ls Yogur Firme La Serenisima Entero Frutilla 120 xg,$1.400
7791337007420,Ls Yogur Firme La Serenisima Entero Vainilla 120 xg,$1.400
7791337007406,Lsclasico Yogur Descremado Batido La Serenisima Clasico Frutilla 120 g,$1.400
7791337007413,Lsclasico Yogur Descremado Batido La Serenisima Clasico Vainilla 120 g,$1.400
7791337007772,Lsclasico Yogur Descremado Firme La Serenisima Clasico Frutilla 190 g,$2.150
7791337007765,Lsclasico Yogur Descremado Firme La Serenisima Clasico Vainilla 190 g,$2.150
7791337007451,Lsclasico Yogur Firme La Serenisima Clasico Frutilla 190 g,$2.150
7791337007444,Lsclasico Yogur Firme La Serenisima Clasico Vainilla 190 g,$2.150
7791337007352,Lsclasico Yogur La Serenisima Entero Batido Vainilla 120 g,$1.400
7791337008267,Yogur Bebible Entero Yogurisimo de Banana en Sachet 900 cc.,$6.850
7791337008229,Yogur Bebible Entero Yogurisimo de Frutilla en Sachet 900 cc.,$6.850
7791337008243,Yogur Bebible Entero Yogurisimo de Vainilla en Sachet 900 cc.,$6.850
7791337007383,Ls Yogur Batido La Serenisima Confites Chocolate 164 g,$3.050
7791337008236,Yogur Batido Descremado Gran Compra de Frutilla 120 g.,$750
7791337008212,Yogur Batido Descremado Gran Compra de Vainilla 120 g.,$750
7791337007161,Yogur Descremado Gran Compra Sabor Frutilla 120 g.,$750
7791337007178,Yogur Descremado Gran Compra Sabor Vainilla 120 g.,$750
7622201736033,Galletitas Cracker Cereal Cerealitas Clásicas 212 g,$2.300
000000000000805,QUESO CREMON CREMOSO,$12.390
7790742665027,Bebida Lactea La Serenísima Frutilla Sachet 900 cc.,$2.225
7790742665010,Bebida Lactea La Serenísima Vainilla Sachet 900 cc.,$2.225
7790742661333,B.Lactea Cookies La Serenisima Sachet 900 ml,$2.225
