ID/EAN,NOMBRE,MARCA,PRESENTACION,ID_CATEGORIA
"7790742326300","Queso Untable La Serenísima Sabor Salame en Pote 180 grs","La Serenisima","180 grs",""
"7790742326409","Sabores La Serenisima Queso Untable Sabores Fontina 180 gr La Serenísima","Sabores La Serenisima","180 gr",""
"7790742326607","Sabores La Serenisima Queso Untable Sabores Jamon 180 gr La Serenísima","Sabores La Serenisima","180 gr",""
"7790742340900","Bebida Vegetal La Serenisima Coco - 1 l","La Serenisima","1 l",""
"7790742340108","La Serenisima 100vegetal Almendra 1l","La Serenisima","1l",""
"7790742340306","La Serenisima 100vegetal Almendra Sin Azúcar 1l","La Serenisima","1l",""
"7790742223005","Queso Rallado La Serenisima 70 Gr","La Serenisima","70 Gr",""
"7790787960514","Yogur Bebible Parcialmente Descremado de Frutilla Ilolay en Sachet 900 g.","Ilolay","900 g",""
"7790742223104","Queso Rallado La Serenisima 130 Gr","La Serenisima","130 Gr",""
"7791019170305","3 Arroyos Redonditos de Chocolate Tres Arroyos 210 gr.","3 Arroyos","210 gr",""
"7791813050582","7 Up 7up Lima Limón Sin Azúcar Lata 354 Ml","7 Up","354 Ml",""
"7791813421917","7 Up Agua Saborizada Con Gas H2oh Limoneto 1.5 L","7 Up","1.5 L",""
"7791813434412","7 Up Gaseosa Lima Limón Sin Azúcar 7Up  1.5 Lts.","7 Up","",""
"7791813421580","7 Up Gaseosas 7up Sin Azúcar Lima Limón 1.5 L","7 Up","1.5 L",""
"7791813777045","7Up Gaseosa 7 Up Lima Limón 1.5 lt","7Up","1.5 lt",""
"7791813777069","7Up Gaseosa 7 Up Lima Limón 3 lt","7Up","3 lt",""
"7790060023684","Aceite De Girasol Cocinero 1.5 L","Cocinero","1.5 L",""
"7790070012050","Aceite De Girasol Cocinero 900 Ml","Cocinero","900 Ml",""
"7790070231819","Aceite de Girasol Cocinero Ecobotella 900 cc.","Cocinero","900 cc",""
"7790272001029","Aceite De Girasol Natura 1.5 L","Natura","1.5 L",""
"7790272001005","Aceite De Girasol Natura 900 Ml","Natura","900 Ml",""
"7790010002943","Aceite Para Bebé Johnsons Baby Puro 100 cc.","Johnsons Baby","100 cc",""
"7500435212601","Acond Pantene Prov Bambu 200 ml","Pantene","200 ml",""
"7500435212212","Acond Pantene Prov Brillo Extremo 200 ml","Pantene","200 ml",""
"7500435211963","Acond Pantene Prov Hidrata 200 ml","Pantene","200 ml",""
"7500435211840","Acond Pantene Prov Restauracion 200 ml","Pantene","200 ml",""
"7791293042756","Acondic Sedal Carbon Activado &Peonias 190ml","Sedal","190ml",""
"7791293050423","Acondicionador Bomba Ceramidas Suave 930 ml.","Suave","930 ml",""
"7500435147583","Acondicionador Head & Shoulders Hidratación Aceite De Coco 300 Ml","Head & Shoulders","300 Ml",""
"7500435241090","Acondicionador Pantene Con Keratina 200 cc.","Pantene","200 cc",""
"7500435229852","Acondicionador Pantene Detox 200 cc.","Pantene","200 cc",""
"7500435230001","Acondicionador Pantene Equilibrio 200 cc.","Pantene","200 cc",""
"7500435211970","Acondicionador Pantene Hidratación 400 ml","Pantene","400 ml",""
"7500435230117","Acondicionador Pantene Pro-V 400 ml","Pantene","400 ml",""
"7500435235433","Acondicionador Pantene Prov Miracles Revit 200 cc.","Pantene","200 cc",""
"7790740000356","Acondicionador Plusbelle Balance 1000 ml","Plusbelle","1000 ml",""
"7790740000479","Acondicionador Plusbelle Control Frizz Esencia 970 cc.","Plusbelle","970 cc",""
"7790740000325","Acondicionador Plusbelle Frescura 1000 ml","Plusbelle","1000 ml",""
"7790740000349","Acondicionador Plusbelle Nutricion 1000 ml","Plusbelle","1000 ml",""
"7790740000363","Acondicionador Plusbelle Protección 1000 ml","Plusbelle","1000 ml",""
"7790740000332","Acondicionador Plusbelle Suavidad 1000 ml","Plusbelle","1000 ml",""
